,Decision_0,Decision_1,Hand_0,Hand_1,Hand_2,Pull_0,Pull_1,solver_ev_0,solver_ev_1,solver_ev_2,solver_ev_3,solver_ev_4,solver_ev_5,solver_ev_6,solver_ev_7,solver_ev_8,solver_ev_9,solver_ev_avg,ResolvedDecision_0,ResolvedDecision_ev_0,ResolvedDecision_1,ResolvedDecision_ev_1
0,4h mid 4s mid,9d mid 2h bot,KdKh--AdAcAh,KdKh-4h4s-AdAcAh,KdKh-4h4s9d-AdAcAh2h,4h 4s Ks ,9d 2h 7s ,29.0,29.0,29.0,33.0,31.0,33.0,0.0,23.0,29.0,45.0,28.0,4h mid 4s mid,0.0,2h bot 7s mid,0.3933333333333344
1,Jd mid Ts mid,2d mid Qd bot,KdKh--AdAcAh,KdKh-JdTs-AdAcAh,KdKh-JdTs2d-AdAcAhQd,Jd 8c Ts ,2d 6d Qd ,25.0,23.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,Jd mid Ts mid,0.0,6d bot Qd mid,0.5560000000000009
2,6h mid 4s mid,4d mid As bot,KdKh--AdAcAh,KdKh-6h4s-AdAcAh,KdKh-6h4s4d-AdAcAhAs,6h 4s Ks ,4d 2h As ,33.0,35.0,35.0,33.0,0.0,0.0,35.0,0.0,33.0,45.0,24.0,6h mid 4s mid,0.0,4d mid As bot,0.0
3,3d mid 3c mid,4c mid 5c bot,KdKh--AdAcAh,KdKh-3d3c-AdAcAh,KdKh-3d3c4c-AdAcAh5c,3d Td 3c ,4c 5c Kc ,25.0,23.0,0.0,23.0,23.0,0.0,23.0,23.0,25.0,23.0,18.0,3d mid 3c mid,0.0,4c bot 5c mid,0.04200000000000159
4,8c mid 3h bot,5s mid 8s mid,KdKh--AdAcAh,KdKh-8c-AdAcAh3h,KdKh-8c5s8s-AdAcAh3h,8c Kc 3h ,2c 5s 8s ,25.0,25.0,33.0,41.0,23.0,23.0,23.0,23.0,29.0,25.0,27.0,8c mid 3h mid,0.863999999999999,2c mid 8s mid,0.10933333333333195
5,8d mid 8s mid,4d bot 2c mid,KdKh--AdAcAh,KdKh-8d8s-AdAcAh,KdKh-8d8s2c-AdAcAh4d,8d 4h 8s ,4d 2c 6c ,29.0,23.0,29.0,33.0,23.0,33.0,31.0,23.0,23.0,23.0,27.0,8d mid 8s mid,0.0,4d mid 6c mid,0.07833333333333314
6,7s mid Qs mid,Jc bot 5h mid,KdKh--AdAcAh,KdKh-7sQs-AdAcAh,KdKh-7sQs5h-AdAcAhJc,Th 7s Qs ,9c Jc 5h ,0.0,0.0,0.0,0.0,25.0,0.0,0.0,23.0,31.0,25.0,10.0,7s mid Qs mid,0.0,9c bot Jc mid,0.13766666666666616
7,2h mid Jh mid,3d top 5s bot,KdKh--AdAcAh,KdKh-2hJh-AdAcAh,KdKh3d-2hJh-AdAcAh5s,2h 6h Jh ,3d Qd 5s ,25.0,0.0,0.0,25.0,33.0,25.0,23.0,0.0,23.0,23.0,17.0,2h mid Jh mid,0.0,3d top 5s mid,1.6356666666666673
8,6c mid Kc mid,7d top Th bot,KdKh--AdAcAh,KdKh-6cKc-AdAcAh,KdKh7d-6cKc-AdAcAhTh,3d 6c Kc ,7d 4h Th ,23.0,0.0,0.0,0.0,23.0,23.0,29.0,0.0,0.0,29.0,12.0,3d mid 6c mid,2.6206666666666667,7d bot 4h mid,0.724333333333333
9,7h mid Ts mid,3h top 7s mid,KdKh--AdAcAh,KdKh-7hTs-AdAcAh,KdKh3h-7hTs7s-AdAcAh,9c 7h Ts ,6c 3h 7s ,0.0,23.0,23.0,23.0,23.0,0.0,33.0,23.0,31.0,23.0,20.0,9c mid Ts mid,0.4666666666666668,6c mid 7s mid,0.5383333333333304
10,3c mid Kc mid,7c mid As bot,KdKh--AdAcAh,KdKh-3cKc-AdAcAh,KdKh-3cKc7c-AdAcAhAs,3c Kc Js ,7c 9s As ,0.0,0.0,0.0,41.0,0.0,41.0,0.0,0.0,41.0,0.0,12.0,3c mid Js mid,1.6726666666666663,7c mid As bot,0.0
11,3h mid 6h mid,8h mid 8s mid,KdKh--AdAcAh,KdKh-3h6h-AdAcAh,KdKh-3h6h8h8s-AdAcAh,Qd 3h 6h ,8h 7s 8s ,25.0,33.0,0.0,25.0,35.0,29.0,0.0,0.0,29.0,31.0,20.0,3h mid 6h mid,0.0,8h mid 8s mid,0.0
12,Td mid As bot,Ts mid Ks mid,KdKh--AdAcAh,KdKh-Td-AdAcAhAs,KdKh-TdTsKs-AdAcAhAs,Td 2h As ,7h Ts Ks ,0.0,33.0,33.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,10.0,Td mid As bot,0.0,7h mid Ts mid,4.5696666666666665
13,Qd mid 9c mid,6h mid Ts bot,KdKh--AdAcAh,KdKh-Qd9c-AdAcAh,KdKh-Qd9c6h-AdAcAhTs,4d Qd 9c ,6h Ts Ks ,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4d mid Qd mid,0.03133333333333432,6h bot Ts mid,0.6103333333333332
14,8s mid 9s mid,2s mid 3s mid,KdKh--AdAcAh,KdKh-8s9s-AdAcAh,KdKh-8s9s2s3s-AdAcAh,3h 8s 9s ,Jd 2s 3s ,0.0,0.0,0.0,0.0,37.0,0.0,41.0,0.0,0.0,0.0,7.0,8s mid 9s mid,0.0,2s bot 3s mid,10.734666666666667
15,6d mid Qh mid,7h bot Js top,KdKh--AdAcAh,KdKh-6dQh-AdAcAh,KdKhJs-6dQh-AdAcAh7h,6d Th Qh ,3h 7h Js ,25.0,25.0,0.0,0.0,0.0,33.0,0.0,29.0,25.0,0.0,13.0,Th mid Qh mid,0.7860000000000014,3h mid Js bot,1.3466666666666676
16,Qc mid Qs mid,2c top 6s mid,KdKh--AdAcAh,KdKh-QcQs-AdAcAh,KdKh2c-QcQs6s-AdAcAh,7c Qc Qs ,8d 2c 6s ,0.0,23.0,0.0,29.0,0.0,33.0,23.0,33.0,25.0,23.0,18.0,Qc mid Qs mid,0.0,2c bot 6s mid,0.32266666666666666
17,3d mid 3s mid,5d top 9h mid,KdKh--AdAcAh,KdKh-3d3s-AdAcAh,KdKh5d-3d3s9h-AdAcAh,3d 6d 3s ,5d 9h 7s ,0.0,23.0,23.0,0.0,29.0,23.0,23.0,0.0,33.0,23.0,17.0,3d mid 3s mid,0.0,9h mid 7s bot,0.4009999999999998
18,4c mid 6s bot,4d mid 9c mid,KdKh--AdAcAh,KdKh-4c-AdAcAh6s,KdKh-4c4d9c-AdAcAh6s,4c 2h 6s ,4d 9c Qc ,0.0,23.0,0.0,31.0,23.0,31.0,0.0,23.0,23.0,23.0,17.0,4c mid 6s mid,2.1913333333333327,4d mid Qc mid,0.01699999999999946
19,7d mid Qd mid,3d mid Jh bot,KdKh--AdAcAh,KdKh-7dQd-AdAcAh,KdKh-7dQd3d-AdAcAhJh,7d Qd 4s ,3d Jh Ts ,37.0,0.0,25.0,0.0,29.0,23.0,23.0,23.0,0.0,0.0,16.0,7d mid Qd mid,0.0,3d mid Jh bot,0.0
20,7d mid Td mid,6c bot Qh bot,KdKh--AdAcAh,KdKh-7dTd-AdAcAh,KdKh-7dTd-AdAcAh6cQh,7d Td 9c ,5c 6c Qh ,23.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,25.0,7.0,7d mid Td mid,0.0,6c mid Qh bot,9.646666666666667
