,Decision_0,Decision_1,Hand_0,Hand_1,Hand_2,Pull_0,Pull_1,solver_ev_0,solver_ev_1,solver_ev_2,solver_ev_3,solver_ev_4,solver_ev_5,solver_ev_6,solver_ev_7,solver_ev_8,solver_ev_9,solver_ev_avg,ResolvedDecision_0,ResolvedDecision_ev_0,ResolvedDecision_1,ResolvedDecision_ev_1
0,4h bot 4s bot,8c bot 3s mid,KdKhAh-AdAc-,KdKhAh-AdAc-4h4s,KdKhAh-AdAc3s-4h4s8c,4h 4s Ks ,8c 2h 3s ,23.0,23.0,0.0,23.0,23.0,23.0,31.0,0.0,0.0,0.0,14.0,4h bot 4s bot,0.0,8c mid 3s bot,0.19266666666666765
1,7h bot 3s mid,5d bot 6c bot,KdKhAh-AdAc-,KdKhAh-AdAc3s-7h,KdKhAh-AdAc3s-7h5d6c,7h Qh 3s ,5d 6c 9c ,25.0,25.0,0.0,0.0,0.0,0.0,25.0,23.0,23.0,0.0,12.0,7h bot Qh bot,1.4833333333333343,5d bot 6c bot,0.0
2,8s bot Js bot,5d bot 5c bot,KdKhAh-AdAc-,KdKhAh-AdAc-8sJs,KdKhAh-AdAc-8sJs5d5c,4d 8s Js ,5d 5c 4s ,0.0,23.0,23.0,23.0,0.0,23.0,0.0,23.0,23.0,0.0,13.0,8s bot Js bot,0.0,5d bot 5c bot,0.0
3,Tc bot Kc bot,2c bot Qs mid,KdKhAh-AdAc-,KdKhAh-AdAc-TcKc,KdKhAh-AdAcQs-TcKc2c,6c Tc Kc ,2c 4s Qs ,0.0,23.0,0.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,6.0,6c bot Tc bot,2.3819999999999997,2c bot 4s mid,0.026333333333333542
4,7h bot Ks mid,8c bot 7s bot,KdKhAh-AdAc-,KdKhAh-AdAcKs-7h,KdKhAh-AdAcKs-7h8c7s,Jd 7h Ks ,8c 7s 9s ,23.0,23.0,23.0,23.0,23.0,29.0,23.0,0.0,0.0,23.0,19.0,Jd bot 7h bot,0.4166666666666661,7s bot 9s bot,0.11599999999999966
5,5c bot 2h bot,7c mid Qs bot,KdKhAh-AdAc-,KdKhAh-AdAc-5c2h,KdKhAh-AdAc7c-5c2hQs,5c Jc 2h ,6c 7c Qs ,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5c bot Jc bot,1.1273333333333326,6c bot 7c mid,1.8263333333333343
6,8d bot Qc bot,3c mid Ks mid,KdKhAh-AdAc-,KdKhAh-AdAc-8dQc,KdKhAh-AdAc3cKs-8dQc,8d Qc 3h ,3c 7s Ks ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,2.0,8d bot Qc bot,0.0,7s bot Ks mid,0.8533333333333335
7,3h bot 6s bot,6d bot Jh mid,KdKhAh-AdAc-,KdKhAh-AdAc-3h6s,KdKhAh-AdAcJh-3h6s6d,Tc 3h 6s ,4d 6d Jh ,23.0,23.0,0.0,0.0,23.0,29.0,0.0,0.0,23.0,23.0,14.0,3h bot 6s bot,0.0,4d mid 6d bot,0.09700000000000131
8,Jc bot 6h bot,9h mid Ts bot,KdKhAh-AdAc-,KdKhAh-AdAc-Jc6h,KdKhAh-AdAc9h-Jc6hTs,2c Jc 6h ,9h 5s Ts ,0.0,0.0,0.0,0.0,0.0,23.0,0.0,23.0,0.0,0.0,4.0,2c bot Jc bot,2.221333333333334,5s bot Ts mid,0.07633333333333336
9,5d bot 4h bot,7c bot 6h bot,KdKhAh-AdAc-,KdKhAh-AdAc-5d4h,KdKhAh-AdAc-5d4h7c6h,5d 6c 4h ,Qd 7c 6h ,25.0,25.0,0.0,25.0,27.0,25.0,25.0,25.0,25.0,0.0,20.0,5d bot 6c bot,0.7713333333333328,7c bot 6h bot,0.0
