name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Solver_4/8",265,2571.21,2570.03,us,,,,,
        "Solver_4/16",137,5099.98,5097.6,us,,,,,
        "Solver_4/64",34,20302.1,20292.4,us,,,,,
        "Solver_4/256",9,81126.5,81077.8,us,,,,,
        "Solver_4/1024",2,324020,323867,us,,,,,
        "Solver_4/4096",1,1.29628e+06,1.29579e+06,us,,,,,
        "Solver_4/15000",1,4.802e+06,4.79988e+06,us,,,,,
        "Solver_3/8",52,12340.8,12335.8,us,,,,,
        "Solver_3/16",26,24015.7,24007.1,us,,,,,
        "Solver_3/64",7,98705.3,98653.6,us,,,,,
        "Solver_3/256",2,401909,401770,us,,,,,
        "Solver_3/1024",1,1.55666e+06,1.55609e+06,us,,,,,
        "Solver_3/4096",1,6.30223e+06,6.29897e+06,us,,,,,
        "Solver_3/15000",1,2.30102e+07,2.30009e+07,us,,,,,
        "Solver_2/8",19,37975.5,37959.4,us,,,,,
        "Solver_2/16",8,80015.2,79982.7,us,,,,,
        "Solver_2/64",2,309956,309846,us,,,,,
        "Solver_2/256",1,1.24325e+06,1.24279e+06,us,,,,,
        "Solver_2/1024",1,4.85785e+06,4.83923e+06,us,,,,,
        "Solver_2/4096",1,1.94852e+07,1.94637e+07,us,,,,,
        "Solver_2/15000",1,7.15152e+07,7.13935e+07,us,,,,,
