name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Solver_4/8",272,2571.61,2570.48,us,,,,,
        "BM_Solver_4/16",137,5118.96,5116.83,us,,,,,
        "BM_Solver_4/64",34,20353.5,20343.2,us,,,,,
        "BM_Solver_4/256",9,82626.7,82584.4,us,,,,,
        "BM_Solver_4/1024",2,324412,324214,us,,,,,
        "BM_Solver_4/4096",1,1.29604e+06,1.29521e+06,us,,,,,
        "BM_Solver_4/15000",1,4.75192e+06,4.74708e+06,us,,,,,
        "BM_Solver_3/8",61,12340.5,12313.9,us,,,,,
        "BM_Solver_3/16",28,25283.5,25263.5,us,,,,,
        "BM_Solver_3/64",7,99206,98662.8,us,,,,,
        "BM_Solver_3/256",2,401974,400964,us,,,,,
        "BM_Solver_3/1024",1,1.58639e+06,1.57255e+06,us,,,,,
        "BM_Solver_3/4096",1,6.38779e+06,6.38252e+06,us,,,,,
        "BM_Solver_3/15000",1,2.32151e+07,2.3193e+07,us,,,,,
        "BM_Solver_2/8",18,36811,36789.5,us,,,,,
        "BM_Solver_2/16",10,79121.3,79089.3,us,,,,,
        "BM_Solver_2/64",2,285904,285737,us,,,,,
        "BM_Solver_2/256",1,1.27618e+06,1.27495e+06,us,,,,,
        "BM_Solver_2/1024",1,4.94452e+06,4.9429e+06,us,,,,,
        "BM_Solver_2/4096",1,1.97157e+07,1.97046e+07,us,,,,,
        "BM_Solver_2/15000",1,7.18246e+07,7.1763e+07,us,,,,,
