name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Solver_4/8",2035,347.718,346.912,us,,,,,
        "Solver_4/16",1034,695.641,694.537,us,,,,,
        "Solver_4/64",258,2685.7,2681.91,us,,,,,
        "Solver_4/256",65,11075.4,11059.5,us,,,,,
        "Solver_4/1024",16,43645.5,43586.7,us,,,,,
        "Solver_4/4096",4,180397,180153,us,,,,,
        "Solver_4/15000",1,627803,626931,us,,,,,
        "Solver_3/8",603,1179.23,1178.71,us,,,,,
        "Solver_3/16",295,2337.37,2336.31,us,,,,,
        "Solver_3/64",75,9428.42,9423.15,us,,,,,
        "Solver_3/256",19,37459.6,37442.5,us,,,,,
        "Solver_3/1024",5,149079,148992,us,,,,,
        "Solver_3/4096",1,602966,602502,us,,,,,
        "Solver_3/15000",1,2.19755e+06,2.19645e+06,us,,,,,
        "Solver_2/8",185,3817.96,3816.64,us,,,,,
        "Solver_2/16",94,7731.71,7728.44,us,,,,,
        "Solver_2/64",23,30752.4,30740.7,us,,,,,
        "Solver_2/256",6,122422,122380,us,,,,,
        "Solver_2/1024",2,488860,488685,us,,,,,
        "Solver_2/4096",1,1.97851e+06,1.97781e+06,us,,,,,
        "Solver_2/15000",1,7.17606e+06,7.17319e+06,us,,,,,
